epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.7702,1.51087,1.2107,1.31683,0.71401,0.58099,0.64899,0.37283,1.46532,1.11393,1.34301,0.0874,0.0014,0.0014
2,82.1105,1.51632,1.2165,1.33562,0.73112,0.56568,0.6455,0.37246,1.4719,1.11465,1.33837,0.0733258,0.0023258,0.0023258
3,91.8693,1.59478,1.26124,1.35034,0.72509,0.57095,0.64948,0.38237,1.43713,1.11211,1.31736,0.0586576,0.0026576,0.0026576
4,102.662,1.57799,1.25517,1.3662,0.73037,0.58116,0.65871,0.38664,1.45081,1.08673,1.32495,0.0433954,0.0023954,0.0023954
5,116.309,1.58305,1.22447,1.35017,0.72853,0.59523,0.667,0.4005,1.38619,1.06755,1.29746,0.0275392,0.0015392,0.0015392
