epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.3785,2.41145,3.15447,1.88711,0.00828,0.1473,0.00981,0.00359,3.17007,3.4358,3.35712,0.08614,0.00014,0.00014
2,23.788,2.01498,2.28838,1.5616,0.01146,0.20381,0.01629,0.00384,3.56753,3.99776,3.4102,0.0712326,0.00023258,0.00023258
3,33.2762,1.98247,2.0666,1.51244,0.04835,0.2189,0.04585,0.01494,3.12737,3.17592,2.90814,0.0562658,0.00026576,0.00026576
4,42.069,1.89605,1.90683,1.49643,0.06993,0.60132,0.20191,0.08108,2.0886,2.61245,1.70623,0.0412395,0.00023954,0.00023954
5,51.581,1.84487,1.80089,1.44612,0.71938,0.22035,0.34877,0.17663,1.73509,2.24348,1.43886,0.0261539,0.00015392,0.00015392
