epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,133.548,2.30303,2.79875,1.77111,0.00944,0.04528,0.00787,0.0027,2.94274,3.72822,3.4171,0.0883,0.0013,0.0013
2,272.542,2.1704,2.1463,1.69564,0.00958,0.06126,0.00625,0.00212,2.67292,3.19143,2.97523,0.0751654,0.0021654,0.0021654
3,402.798,2.168,1.9328,1.66972,0.01789,0.03767,0.00885,0.00246,2.96172,3.23302,3.71509,0.0614764,0.0024764,0.0024764
4,529.409,2.03561,1.74728,1.62072,0.18045,0.06393,0.06414,0.0233,2.55678,2.55404,2.61604,0.047233,0.002233,0.002233
5,666.361,1.95858,1.66489,1.56655,0.20379,0.15397,0.12865,0.05273,2.16716,2.24864,1.98427,0.0324352,0.0014352,0.0014352
