epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.9901,2.41145,3.15447,1.88711,0.00831,0.14709,0.00984,0.0036,3.16896,3.43654,3.35557,0.08614,0.00014,0.00014
2,31.9924,2.01498,2.28838,1.5616,0.01146,0.20275,0.01611,0.00382,3.56792,3.99917,3.40925,0.0712326,0.00023258,0.00023258
3,43.229,1.98247,2.0666,1.51244,0.04874,0.21759,0.04582,0.01498,3.1265,3.1757,2.90585,0.0562658,0.00026576,0.00026576
4,53.3922,1.89605,1.90683,1.49643,0.06934,0.59837,0.2,0.08037,2.09142,2.61299,1.70686,0.0412395,0.00023954,0.00023954
5,63.0576,1.84487,1.80089,1.44612,0.71141,0.21942,0.3459,0.17515,1.73851,2.2429,1.43943,0.0261539,0.00015392,0.00015392
