epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.5137,1.78433,1.42632,1.48053,0.59025,0.47827,0.51438,0.25365,1.76686,2.15401,1.57605,0.0874,0.0014,0.0014
2,69.2936,1.63963,1.33082,1.41663,0.65259,0.52984,0.58233,0.31447,1.60175,1.36193,1.44413,0.0733258,0.0023258,0.0023258
3,79.9306,1.6997,1.35457,1.41905,0.68089,0.54033,0.60592,0.33953,1.54703,1.27993,1.3896,0.0586576,0.0026576,0.0026576
4,90.1822,1.66448,1.32798,1.42361,0.7185,0.56135,0.63514,0.3683,1.47295,1.16012,1.35658,0.0433954,0.0023954,0.0023954
5,99.3769,1.64044,1.27634,1.389,0.72732,0.56358,0.6458,0.37715,1.43669,1.14852,1.33932,0.0275392,0.0015392,0.0015392
