epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.5309,1.92455,1.78798,1.48488,0.51958,0.24113,0.29446,0.11455,2.19749,2.27862,1.74625,0.08614,0.00014,0.00014
2,107.774,1.83576,1.65872,1.45488,0.55747,0.30481,0.35841,0.16852,1.85226,1.95829,1.4748,0.0712326,0.00023258,0.00023258
3,120.576,1.81987,1.58289,1.4353,0.6003,0.31372,0.37255,0.18028,1.88483,1.94213,1.55286,0.0562658,0.00026576,0.00026576
4,131.062,1.76162,1.50804,1.42434,0.61273,0.44055,0.49266,0.25237,1.74532,1.61529,1.42183,0.0412395,0.00023954,0.00023954
5,139.338,1.71552,1.44608,1.37584,0.67145,0.49948,0.55943,0.30755,1.56818,1.4052,1.32465,0.0261539,0.00015392,0.00015392
