epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.4114,2.13445,1.7953,1.67381,0.37424,0.18383,0.18615,0.06722,2.47885,8.77244,2.17137,0.0874,0.0014,0.0014
2,87.3156,2.07384,1.76628,1.67006,0.44373,0.25434,0.25088,0.09636,2.25565,2.27355,2.05972,0.0733258,0.0023258,0.0023258
3,95.6214,2.06208,1.72215,1.62861,0.3076,0.22239,0.19832,0.07173,2.38782,2.59666,2.32027,0.0586576,0.0026576,0.0026576
4,103.241,1.98237,1.6363,1.62877,0.35852,0.27088,0.2372,0.09568,2.29365,3.06632,2.14666,0.0433954,0.0023954,0.0023954
5,110.893,1.88874,1.50405,1.54743,0.5041,0.45185,0.44735,0.20665,1.8875,2.53206,1.68732,0.0275392,0.0015392,0.0015392
