epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.917,2.46813,3.5812,1.92577,0.03983,0.39548,0.07433,0.03069,2.13605,3.47042,1.62409,0.00018337,0.00018337,0.00018337
2,199.779,2.10331,3.12255,1.56984,0.04801,0.46884,0.15888,0.06469,1.92524,3.29576,1.43338,0.000307495,0.000307495,0.000307495
3,289.668,2.03402,2.71169,1.48044,0.05229,0.50574,0.20561,0.08544,1.93472,3.1134,1.40281,0.000352404,0.000352404,0.000352404
4,404.238,1.96767,2.40959,1.42309,0.05953,0.56026,0.28402,0.1313,1.85769,2.97027,1.37615,0.000318097,0.000318097,0.000318097
5,532.325,1.96382,2.17464,1.40516,0.94428,0.15113,0.34072,0.17078,1.7601,2.79323,1.30756,0.000204574,0.000204574,0.000204574
