epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,314.059,2.35334,3.48768,1.86419,0.07116,0.46213,0.14336,0.0626,2.0329,3.36131,1.52433,0.00030006,0.00030006,0.00030006
2,522.064,2.14158,2.71019,1.50253,0.08347,0.50089,0.20947,0.08343,1.96153,3.06903,1.44603,0.000494666,0.000494666,0.000494666
3,699.277,2.05952,2.08917,1.44417,0.58338,0.21844,0.30709,0.13715,1.98313,2.51784,1.39486,0.000563846,0.000563846,0.000563846
4,880.749,2.07852,1.81493,1.47792,0.561,0.33741,0.37348,0.17192,1.95108,2.17643,1.39335,0.000507602,0.000507602,0.000507602
5,1068.1,1.9255,1.69369,1.41416,0.51878,0.38498,0.41292,0.22755,1.66818,1.8975,1.26973,0.000325932,0.000325932,0.000325932
