epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,135.418,2.21203,2.68224,1.73251,0.01076,0.0642,0.00772,0.00213,2.87437,3.50993,3.6956,0.0874,0.0014,0.0014
2,294.358,2.1482,2.14062,1.71469,0.00782,0.01231,0.00405,0.00107,4.06028,4.09951,10.3451,0.0733258,0.0023258,0.0023258
3,427.727,2.13385,1.92648,1.70279,0.04087,0.03352,0.01422,0.00504,2.93969,3.5955,5.10203,0.0586576,0.0026576,0.0026576
4,566.422,2.02031,1.77653,1.6438,0.34766,0.07065,0.07571,0.02762,2.35588,2.85726,2.1717,0.0433954,0.0023954,0.0023954
5,714.864,1.92229,1.66291,1.56305,0.49482,0.15421,0.16594,0.07375,1.9629,2.2422,1.79508,0.0275392,0.0015392,0.0015392
