epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,151.915,2.25204,2.69772,1.74336,0,0,0,0,5.7343,16.8041,24.5479,0.0874,0.0014,0.0014
2,299.09,2.19547,2.118,1.73799,0.00071,0.00159,0.00285,0.00074,4.61285,6.28543,16.2338,0.0738043,0.0028043,0.0028043
3,437.896,2.15616,1.94012,1.69911,0.09426,0.03173,0.02543,0.00842,3.06851,3.17824,4.75103,0.0601096,0.0041096,0.0041096
4,583.24,2.15059,1.83487,1.70205,0.54491,0.03717,0.08034,0.01801,2.73727,6.81441,2.8834,0.0463159,0.0053159,0.0053159
5,711.288,2.16277,1.8193,1.7279,0.18049,0.03985,0.04015,0.01452,2.91621,13.8297,3.2328,0.0324232,0.0064232,0.0064232
