epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.2717,1.64503,1.4092,1.3363,0.67743,0.53348,0.59378,0.32851,1.54152,1.29296,1.31077,0.08614,0.00014,0.00014
2,58.3855,1.58966,1.3721,1.32567,0.7007,0.53505,0.60875,0.34609,1.48936,1.25284,1.29139,0.0712326,0.00023258,0.00023258
3,67.9261,1.60451,1.3811,1.31517,0.7042,0.53658,0.61833,0.35619,1.45406,1.23287,1.2784,0.0562658,0.00026576,0.00026576
4,77.7012,1.58743,1.37367,1.32852,0.69893,0.54653,0.62228,0.35676,1.46517,1.22237,1.28177,0.0412395,0.00023954,0.00023954
5,87.2301,1.63773,1.36865,1.33587,0.70094,0.54046,0.61531,0.35821,1.45261,1.21921,1.27959,0.0261539,0.00015392,0.00015392
