epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.4935,2.41145,3.15447,1.88711,0.00833,0.14797,0.0099,0.00361,3.16918,3.43895,3.36044,0.08614,0.00014,0.00014
2,19.0682,2.01498,2.28838,1.5616,0.01149,0.20406,0.0162,0.00384,3.56457,4.00293,3.40865,0.0712326,0.00023258,0.00023258
3,27.9281,1.98247,2.0666,1.51244,0.04876,0.2186,0.046,0.01501,3.12205,3.17447,2.90261,0.0562658,0.00026576,0.00026576
4,36.8259,1.89605,1.90683,1.49643,0.06948,0.60015,0.20099,0.08097,2.08773,2.61214,1.70421,0.0412395,0.00023954,0.00023954
5,45.4685,1.84487,1.80089,1.44612,0.71999,0.21973,0.34673,0.17574,1.73565,2.24242,1.43799,0.0261539,0.00015392,0.00015392
