epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,139.937,1.598,1.37316,1.31495,0.69996,0.54739,0.62256,0.36182,1.43748,1.21191,1.27532,0.08614,0.00014,0.00014
2,290.506,1.54896,1.3431,1.30665,0.69787,0.54945,0.62429,0.36315,1.43692,1.20555,1.27395,0.0712326,0.00023258,0.00023258
3,303.414,1.57272,1.35498,1.30029,0.69796,0.55339,0.62832,0.3658,1.43158,1.20471,1.27052,0.0562658,0.00026576,0.00026576
4,313.375,1.5654,1.35532,1.31732,0.70064,0.55361,0.63109,0.36446,1.44943,1.20029,1.27452,0.0412395,0.00023954,0.00023954
5,323.065,1.62626,1.35403,1.32862,0.6964,0.54642,0.62292,0.36599,1.43535,1.19931,1.27121,0.0261539,0.00015392,0.00015392
