epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,331.796,1.04288,0.71725,1.05827,0.8467,0.727,0.84173,0.63046,0.87708,0.63178,0.98178,0.004324,0.004324,0.004324
45,338.921,1.04539,0.7255,1.06433,0.85043,0.74581,0.85109,0.63499,0.88266,0.60756,0.98153,0.004192,0.004192,0.004192
46,346.617,1.03527,0.73022,1.05571,0.8585,0.74073,0.85096,0.63051,0.88685,0.61683,0.98107,0.00406,0.00406,0.00406
47,354.169,1.05406,0.73134,1.0507,0.84411,0.75944,0.8589,0.64559,0.86342,0.59231,0.97748,0.003928,0.003928,0.003928
48,361.376,1.02748,0.72554,1.05697,0.84653,0.76534,0.86076,0.63964,0.86898,0.59669,0.98173,0.003796,0.003796,0.003796
49,368.636,1.0207,0.71332,1.0418,0.83828,0.75739,0.8544,0.63333,0.85642,0.63594,0.97615,0.003664,0.003664,0.003664
50,375.934,1.0524,0.7221,1.05187,0.82843,0.75476,0.84835,0.6274,0.88145,0.62061,0.98646,0.003532,0.003532,0.003532
51,382.805,1.03635,0.71323,1.04552,0.83809,0.76637,0.86064,0.64207,0.87027,0.59108,0.97738,0.0034,0.0034,0.0034
52,390.087,1.03831,0.71704,1.04761,0.85716,0.76916,0.86824,0.65364,0.85754,0.57704,0.97216,0.003268,0.003268,0.003268
53,397.234,1.02188,0.7166,1.04284,0.84523,0.77569,0.86555,0.65724,0.82981,0.5672,0.96215,0.003136,0.003136,0.003136
54,404.42,1.00908,0.71134,1.04108,0.85401,0.76307,0.8667,0.65981,0.83667,0.57409,0.96138,0.003004,0.003004,0.003004
55,412.117,1.00322,0.69595,1.03394,0.85084,0.77309,0.87328,0.66595,0.82776,0.57071,0.9589,0.002872,0.002872,0.002872
56,419.078,0.99604,0.70009,1.05196,0.85823,0.76433,0.87057,0.66323,0.83136,0.58064,0.96191,0.00274,0.00274,0.00274
57,425.984,0.99888,0.69008,1.03917,0.85674,0.7662,0.87195,0.66713,0.82397,0.56308,0.9604,0.002608,0.002608,0.002608
58,433.006,0.99489,0.68711,1.03145,0.85283,0.77096,0.86752,0.66283,0.82403,0.55773,0.96055,0.002476,0.002476,0.002476
59,440.089,0.99033,0.68335,1.03392,0.85167,0.78259,0.87426,0.65908,0.84653,0.56314,0.96725,0.002344,0.002344,0.002344
60,447.072,1.00744,0.69595,1.03969,0.8642,0.77956,0.87981,0.67114,0.81457,0.54953,0.95291,0.002212,0.002212,0.002212
61,453.932,0.97896,0.68117,1.03042,0.85233,0.76823,0.8709,0.67306,0.79681,0.54883,0.94656,0.00208,0.00208,0.00208
62,460.953,0.95718,0.67078,1.02207,0.86846,0.7676,0.87609,0.67528,0.79606,0.54354,0.94543,0.001948,0.001948,0.001948
63,468.118,0.96434,0.67026,1.02726,0.85696,0.78209,0.88116,0.68057,0.77364,0.53832,0.93581,0.001816,0.001816,0.001816
64,475.303,0.98038,0.68581,1.03205,0.8534,0.771,0.87395,0.67667,0.7726,0.5419,0.93475,0.001684,0.001684,0.001684
65,482.292,0.95416,0.66555,1.01746,0.86731,0.77647,0.88133,0.68582,0.76983,0.52963,0.9341,0.001552,0.001552,0.001552
