epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.3951,2.41145,3.15447,1.88711,0.00832,0.14788,0.00985,0.0036,3.18449,3.38394,3.37686,0.08614,0.00014,0.00014
2,50.5378,2.01498,2.28838,1.5616,0.01147,0.20398,0.01632,0.00384,3.53349,3.86176,3.3587,0.0712326,0.00023258,0.00023258
3,60.9957,1.98247,2.0666,1.51244,0.04836,0.21886,0.04583,0.01493,3.09413,3.12494,2.8635,0.0562658,0.00026576,0.00026576
4,70.83,1.89605,1.90683,1.49643,0.06982,0.6016,0.20097,0.0804,2.0797,2.591,1.69125,0.0412395,0.00023954,0.00023954
5,79.8373,1.84487,1.80089,1.44612,0.72434,0.22018,0.349,0.17662,1.72773,2.21879,1.42131,0.0261539,0.00015392,0.00015392
