epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,143.735,1.88071,1.51429,1.52109,0.38209,0.29661,0.26809,0.08199,2.90411,5.43791,2.39849,0.0874,0.0014,0.0014
2,183.477,1.9462,1.55376,1.5787,0.4187,0.35479,0.3393,0.13225,2.1295,3.50648,1.83625,0.0733258,0.0023258,0.0023258
3,194.666,1.9373,1.5286,1.56779,0.34772,0.30139,0.25519,0.09433,2.39419,2.52301,2.15825,0.0586576,0.0026576,0.0026576
4,204.895,1.81669,1.46993,1.52014,0.26915,0.2593,0.2281,0.09491,2.49298,3.58495,2.33119,0.0433954,0.0023954,0.0023954
5,214.128,1.72611,1.33944,1.43859,0.39836,0.3069,0.28573,0.1109,2.43601,2.14983,2.18328,0.0275392,0.0015392,0.0015392
